,TEAM_ID,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
0,1610612743,0,22022,2022-12-22,West,Denver,30,19,11,0.633,10-3,9-8,
1,1610612763,0,22022,2022-12-22,West,Memphis,30,19,11,0.633,13-2,6-9,
2,1610612740,0,22022,2022-12-22,West,New Orleans,31,19,12,0.613,13-4,6-8,
3,1610612756,0,22022,2022-12-22,West,Phoenix,32,19,13,0.594,14-4,5-9,
4,1610612746,0,22022,2022-12-22,West,LA Clippers,33,19,14,0.576,11-7,8-7,
5,1610612758,0,22022,2022-12-22,West,Sacramento,30,17,13,0.567,9-5,8-8,
6,1610612762,0,22022,2022-12-22,West,Utah,35,19,16,0.543,12-5,7-11,
7,1610612757,0,22022,2022-12-22,West,Portland,32,17,15,0.531,7-6,10-9,
8,1610612742,0,22022,2022-12-22,West,Dallas,32,16,16,0.5,12-5,4-11,
9,1610612750,0,22022,2022-12-22,West,Minnesota,32,16,16,0.5,9-8,7-8,
10,1610612744,0,22022,2022-12-22,West,Golden State,33,15,18,0.455,12-2,3-16,
11,1610612760,0,22022,2022-12-22,West,Oklahoma City,32,14,18,0.438,9-7,5-11,
12,1610612747,0,22022,2022-12-22,West,L.A. Lakers,31,13,18,0.419,8-7,5-11,
13,1610612759,0,22022,2022-12-22,West,San Antonio,31,10,21,0.323,5-12,5-9,
14,1610612745,0,22022,2022-12-22,West,Houston,31,9,22,0.29,6-9,3-13,
15,1610612743,0,22022,2022-12-21,West,Denver,30,19,11,0.633,10-3,9-8,
16,1610612763,0,22022,2022-12-21,West,Memphis,30,19,11,0.633,13-2,6-9,
17,1610612740,0,22022,2022-12-21,West,New Orleans,30,18,12,0.6,12-4,6-8,
18,1610612756,0,22022,2022-12-21,West,Phoenix,32,19,13,0.594,14-4,5-9,
19,1610612746,0,22022,2022-12-21,West,LA Clippers,33,19,14,0.576,11-7,8-7,
